ADMIN0,ADMIN1,ADMIN2,IUs_NAME,IU_CODE,Year,PopTot,PopPreSAC,PopSAC,PopAdult,Endemicity,PopReq,PopTrg,PopTreat,Cov,Cum_MDA,MDA,EffMDA,MDA_n,EffMDA_n,EpiCov,EpiMDA,EpiEffMDA,EpiMDA_n,EpiEffMDA_n,MDA_scheme,Endemicity_ID,Endemicity_loa,Raploa_MIN,Raploa_MAX,ov_prev_mean,ov_prev_min,ov_prev_ma
Guinea-Bissau,Bijagos,Orango Grande,Orango Grande,GNB0240623673,2020,1510,201,387,855,Unknown (under LF MDA),1242,1242,1092,87.92,6,1,1,4,4,87.92,1,1,4,4,ALB+IVM,5,Non-endemic,0,0,0.048997814,0,0.705882353
Guinea-Bissau,Bijagos,Orango Zinho,Orango Zinho,GNB0240623674,2020,853,113,219,483,Unknown (under LF MDA),702,702,829,118.09,6,1,1,4,4,118.09,1,1,4,4,ALB+IVM,5,Non-endemic,0,0,0.048997814,0,0.705882353
Guinea-Bissau,Bijagos,Soga,Soga,GNB0240623675,2020,1018,135,261,577,Unknown (under LF MDA),838,838,711,84.84,6,1,1,4,3,84.84,1,1,4,3,ALB+IVM,5,Non-endemic,0,0,0.048997814,0,0.705882353
Guinea-Bissau,Bijagos,Uno,Uno,GNB0240623676,2020,4018,534,1029,2276,Unknown (under LF MDA),3305,3305,3317,100.36,6,1,1,4,3,100.36,1,1,4,3,ALB+IVM,5,Non-endemic,0,0,0.048997814,0,0.705882353
Guinea-Bissau,Bijagos,Uracane,Uracane,GNB0240623677,2020,1866,248,478,1057,Unknown (under LF MDA),1535,1535,1699,110.68,6,1,1,4,4,110.68,1,1,4,4,ALB+IVM,5,Non-endemic,0,0,0.048997814,0,0.705882353
Guinea-Bissau,Biombo,Safim Couverte Par Plack Ii (Sab),Safim Couverte Par Plack Ii (Sab),GNB0240723678,2020,16731,2225,4286,9478,Unknown (under LF MDA),0,0,0,0,2,0,0,1,1,0,0,0,1,1,Not delivered,5,Non-endemic,0,0,0.048997814,0,0.705882353
Guinea-Bissau,Biombo,Ondame,Ondame,GNB0240723679,2020,16343,2174,4187,9258,Unknown (under LF MDA),0,0,0,0,2,0,0,1,0,0,0,0,1,0,Not delivered,5,Non-endemic,0,0,0.048997814,0,0.705882353
Guinea-Bissau,Biombo,Prabis,Prabis,GNB0240723680,2020,11382,1514,2916,6448,Unknown (under LF MDA),0,0,0,0,2,0,0,1,1,0,0,0,1,1,Not delivered,5,Non-endemic,0,0,0.048997814,0,0.705882353
Guinea-Bissau,Biombo,Quinhamel,Quinhamel,GNB0240723681,2020,16751,2228,4292,9489,Unknown (under LF MDA),0,0,0,0,2,0,0,1,1,0,0,0,1,1,Not delivered,5,Non-endemic,0,0,0.048997814,0,0.705882353
Guinea-Bissau,Biombo,Safim,Safim,GNB0240723682,2020,16758,2229,4293,9493,Unknown (under LF MDA),0,0,0,0,2,0,0,1,1,0,0,0,1,1,Not delivered,5,Non-endemic,0,0,0.048997814,0,0.705882353
Guinea-Bissau,Bolama,Bolama,Bolama,GNB0241323683,2020,7082,942,1814,4012,Unknown (under LF MDA),0,0,0,0,3,0,0,2,0,0,0,0,2,0,Not delivered,5,Non-endemic,0,0,0.048997814,0,0.705882353
Guinea-Bissau,Bolama,Nova Sintra,Nova Sintra,GNB0241323684,2020,2997,399,768,1698,Unknown (under LF MDA),0,0,0,0,3,0,0,2,1,0,0,0,2,1,Not delivered,5,Non-endemic,0,0,0.048997814,0,0.705882353
Guinea-Bissau,Cacheu,Bula,Bula,GNB0241523685,2020,23242,3091,5955,13167,Unknown (under LF MDA),0,0,0,0,3,0,0,2,2,0,0,0,2,2,Not delivered,5,Non-endemic,0,0,0.048997814,0,0.705882353
Guinea-Bissau,Cacheu,Calequisse,Calequisse,GNB0241523686,2020,9674,1287,2478,5480,Unknown (under LF MDA),0,0,0,0,3,0,0,2,1,0,0,0,2,1,Not delivered,5,Non-endemic,0,0,0.048997814,0,0.705882353
Guinea-Bissau,Cacheu,S.Domingos,S.Domingos,GNB0241523687,2020,21377,2843,5477,12110,Unknown (under LF MDA),0,0,0,0,3,0,0,2,1,0,0,0,2,1,Not delivered,5,Non-endemic,0,0,0.048997814,0,0.705882353
Guinea-Bissau,Cacheu,Barro,Barro,GNB0241523688,2020,8793,1169,2253,4981,Unknown (under LF MDA),0,0,0,0,3,0,0,2,1,0,0,0,2,1,Not delivered,5,Non-endemic,0,0,0.048997814,0,0.705882353
Guinea-Bissau,Cacheu,Bara,Bara,GNB0241523689,2020,6015,800,1541,3407,Unknown (under LF MDA),0,0,0,0,3,0,0,2,2,0,0,0,2,2,Not delivered,5,Non-endemic,0,0,0.048997814,0,0.705882353
Guinea-Bissau,Cacheu,Batucar,Batucar,GNB0241523690,2020,7164,953,1835,4058,Unknown (under LF MDA),0,0,0,0,3,0,0,2,0,0,0,0,2,0,Not delivered,5,Non-endemic,0,0,0.048997814,0,0.705882353
Guinea-Bissau,Cacheu,Bigene,Bigene,GNB0241523691,2020,16025,2131,4106,9078,Unknown (under LF MDA),0,0,0,0,3,0,0,2,2,0,0,0,2,2,Not delivered,5,Non-endemic,0,0,0.048997814,0,0.705882353
Guinea-Bissau,Cacheu,Cacheu,Cacheu,GNB0241523692,2020,13984,1860,3583,7922,Unknown (under LF MDA),0,0,0,0,3,0,0,2,1,0,0,0,2,1,Not delivered,5,Non-endemic,0,0,0.048997814,0,0.705882353
Guinea-Bissau,Cacheu,Caio,Caio,GNB0241523693,2020,10736,1428,2751,6082,Unknown (under LF MDA),0,0,0,0,3,0,0,2,0,0,0,0,2,0,Not delivered,5,Non-endemic,0,0,0.048997814,0,0.705882353
Guinea-Bissau,Cacheu,Canchungo,Canchungo,GNB0241523694,2020,21401,2846,5483,12124,Unknown (under LF MDA),0,0,0,0,3,0,0,2,1,0,0,0,2,1,Not delivered,5,Non-endemic,0,0,0.048997814,0,0.705882353
Guinea-Bissau,Cacheu,Carenque,Carenque,GNB0241523695,2020,9348,1243,2395,5296,Unknown (under LF MDA),0,0,0,0,3,0,0,2,0,0,0,0,2,0,Not delivered,5,Non-endemic,0,0,0.048997814,0,0.705882353
Guinea-Bissau,Cacheu,Ingore,Ingore,GNB0241523696,2020,25981,3455,6656,14718,Unknown (under LF MDA),0,0,0,0,3,0,0,2,2,0,0,0,2,2,Not delivered,5,Non-endemic,0,0,0.048997814,0,0.705882353
Guinea-Bissau,Cacheu,Jeta,Jeta,GNB0241523697,2020,1940,258,497,1099,Unknown (under LF MDA),0,0,0,0,3,0,0,2,2,0,0,0,2,2,Not delivered,5,Non-endemic,0,0,0.048997814,0,0.705882353
Guinea-Bissau,Cacheu,Pecixe,Pecixe,GNB0241523698,2020,7376,981,1890,4179,Unknown (under LF MDA),0,0,0,0,3,0,0,2,1,0,0,0,2,1,Not delivered,5,Non-endemic,0,0,0.048997814,0,0.705882353
Guinea-Bissau,Cacheu,Pelundo,Pelundo,GNB0241523699,2020,12370,1645,3169,7008,Unknown (under LF MDA),0,0,0,0,3,0,0,2,2,0,0,0,2,2,Not delivered,5,Non-endemic,0,0,0.048997814,0,0.705882353
Guinea-Bissau,Cacheu,Sedengal,Sedengal,GNB0241523700,2020,14779,1966,3786,8372,Unknown (under LF MDA),0,0,0,0,3,0,0,2,2,0,0,0,2,2,Not delivered,5,Non-endemic,0,0,0.048997814,0,0.705882353
Guinea-Bissau,Cacheu,Suzana,Suzana,GNB0241523701,2020,10167,1352,2605,5760,Unknown (under LF MDA),0,0,0,0,3,0,0,2,1,0,0,0,2,1,Not delivered,5,Non-endemic,0,0,0.048997814,0,0.705882353
Guinea-Bissau,Cacheu,Varela,Varela,GNB0241523702,2020,11775,1566,3017,6671,Unknown (under LF MDA),0,0,0,0,3,0,0,2,0,0,0,0,2,0,Not delivered,5,Non-endemic,0,0,0.048997814,0,0.705882353
Guinea-Bissau,Oio,Binta,Binta,GNB0242223704,2020,7650,1017,1960,4334,Unknown (under LF MDA),0,0,0,0,3,0,0,2,1,0,0,0,2,1,Not delivered,5,Non-endemic,0,0,0.048997814,0,0.705882353
Guinea-Bissau,Oio,Candjambari,Candjambari,GNB0242223705,2020,5742,764,1471,3253,Unknown (under LF MDA),0,0,0,0,3,0,0,2,1,0,0,0,2,1,Not delivered,5,Non-endemic,0,0,0.048997814,0,0.705882353
Guinea-Bissau,Oio,Cuntima,Cuntima,GNB0242223706,2020,12953,1723,3319,7338,Unknown (under LF MDA),0,0,0,0,3,0,0,2,1,0,0,0,2,1,Not delivered,5,Non-endemic,0,0,0.048997814,0,0.705882353
Guinea-Bissau,Oio,Guidage,Guidage,GNB0242223707,2020,4951,658,1268,2805,Unknown (under LF MDA),0,0,0,0,3,0,0,2,1,0,0,0,2,1,Not delivered,5,Non-endemic,0,0,0.048997814,0,0.705882353
Guinea-Bissau,Oio,Farim,Farim,GNB0242223708,2020,30407,4044,7790,17226,Unknown (under LF MDA),0,0,0,0,3,0,0,2,1,0,0,0,2,1,Not delivered,5,Non-endemic,0,0,0.048997814,0,0.705882353
Guinea-Bissau,Gabu,Bajocunda,Bajocunda,GNB0242023709,2020,6749,898,1729,3823,Endemic (under MDA),6749,5552,4111,74.05,21,1,0,6,1,60.91,1,0,6,0,ALB+IVM,2,Non-endemic,0,0,0.042252835,0,0.230263158
Guinea-Bissau,Gabu,Beli,Beli,GNB0242023710,2020,6087,810,1559,3448,Endemic (under MDA),6087,5007,4483,89.53,21,1,1,6,4,73.65,1,0,6,0,ALB+IVM,2,Non-endemic,0,0,0.107750062,0,0.547945205
Guinea-Bissau,Gabu,Buruntuma,Buruntuma,GNB0242023711,2020,11833,1574,3032,6703,Endemic (under MDA),11833,9735,7704,79.14,21,1,0,6,1,65.11,1,0,6,0,ALB+IVM,2,Non-endemic,0,0,0.103959313,0,0.365079365
Guinea-Bissau,Gabu,Canquelifa,Canquelifa,GNB0242023712,2020,7217,960,1849,4088,Endemic (under MDA),7217,5937,4660,78.49,21,1,0,6,3,64.57,1,0,6,0,ALB+IVM,2,Non-endemic,0,0,0,0,0
Guinea-Bissau,Gabu,Cancisse,Cancisse,GNB0242023713,2020,6968,927,1785,3947,Endemic (under MDA),6968,5732,5165,90.11,21,1,1,6,6,74.12,1,0,6,2,ALB+IVM,2,Non-endemic,0,0,0.061698237,0,0.705882353
Guinea-Bissau,Gabu,Dandum,Dandum,GNB0242023714,2020,4245,565,1088,2405,Endemic (under MDA),4245,3493,3177,90.95,21,1,1,6,5,74.84,1,0,6,1,ALB+IVM,2,Non-endemic,0,0,0.061698237,0,0.705882353
Guinea-Bissau,Gabu,Dara,Dara,GNB0242023715,2020,17113,2276,4384,9695,Endemic (under MDA),17113,14079,11311,80.34,21,1,1,6,2,66.1,1,0,6,0,ALB+IVM,2,Non-endemic,0,0,0.145491487,0,0.705882353
Guinea-Bissau,Gabu,Fasse,Fasse,GNB0242023716,2020,10574,1406,2709,5990,Endemic (under MDA),10574,8699,7421,85.31,19,1,1,6,3,70.18,1,0,6,0,ALB+IVM,2,Non-endemic,0,0,0.033065372,0,0.154228856
Guinea-Bissau,Gabu,Paunca,Paunca,GNB0242023717,2020,17773,2364,4553,10068,Endemic (under MDA),17773,14621,12434,85.04,20,1,1,6,5,69.96,1,0,6,0,ALB+IVM,2,Non-endemic,0,0,0.061698237,0,0.705882353
Guinea-Bissau,Gabu,Canjadude,Canjadude,GNB0242023719,2020,8797,1170,2254,4984,Endemic (under MDA),8797,7238,5816,80.35,21,1,1,6,1,66.11,1,0,6,0,ALB+IVM,2,Non-endemic,0,0,0.100695284,0,0.388888889
Guinea-Bissau,Gabu,Canjufa,Canjufa,GNB0242023720,2020,22520,2995,5770,12758,Endemic (under MDA),22520,18528,17332,93.54,10,1,1,6,5,76.96,1,0,6,2,ALB+IVM,2,Non-endemic,0,0,0.061698237,0,0.705882353
Guinea-Bissau,Gabu,Gabu,Gabu,GNB0242023721,2020,46551,6191,11926,26371,Endemic (under MDA),46551,38297,38034,99.31,9,1,1,6,6,81.7,1,1,6,4,ALB+IVM,2,Non-endemic,0,0,0.116579724,0,0.414772727
Guinea-Bissau,Gabu,Jugadjole,Jugadjole,GNB0242023722,2020,4656,619,1193,2638,Endemic (under MDA),4656,3831,2569,67.06,21,1,0,6,1,55.18,1,0,6,1,ALB+IVM,2,Non-endemic,0,0,0,0,0
Guinea-Bissau,Gabu,Mafanco,Mafanco,GNB0242023723,2020,17773,2364,4553,10068,Endemic (under MDA),17773,14621,13049,89.25,10,1,1,6,2,73.42,1,0,6,0,ALB+IVM,2,Non-endemic,0,0,0.061698237,0,0.705882353
Guinea-Bissau,Gabu,Mansadjam,Mansadjam,GNB0242023724,2020,16061,2136,4115,9099,Endemic (under MDA),16061,13214,10637,80.5,19,1,1,6,1,66.23,1,0,6,0,ALB+IVM,2,Non-endemic,0,0,0.038349489,0,0.16091954
Guinea-Bissau,Gabu,Pirada,Pirada,GNB0242023725,2020,13921,1851,3567,7886,Endemic (under MDA),13921,11453,12059,105.29,20,1,1,6,2,86.62,1,1,6,1,ALB+IVM,2,Non-endemic,0,0,0,0,0
Guinea-Bissau,Gabu,Pitche,Pitche,GNB0242023726,2020,22979,3056,5887,13018,Endemic (under MDA),22979,18905,17142,90.67,21,1,1,6,4,74.6,1,0,6,1,ALB+IVM,2,Non-endemic,0,0,0.115205971,0,0.4375
Guinea-Bissau,Gabu,Sonaco,Sonaco,GNB0242023727,2020,20807,2767,5331,11787,Endemic (under MDA),20807,17118,14432,84.31,21,1,1,6,1,69.36,1,0,6,0,ALB+IVM,2,Non-endemic,0,0,0.044032344,0,0.274509804
Guinea-Bissau,Gabu,Tumana,Tumana,GNB0242023728,2020,17317,2303,4437,9810,Endemic (under MDA),17317,14247,12629,88.64,10,1,1,6,1,72.93,1,0,6,0,ALB+IVM,2,Non-endemic,0,0,0.016393443,0,0.06557377
Guinea-Bissau,Oio,Portugole,Portugole,GNB0242223730,2020,6331,842,1622,3587,Unknown (under LF MDA),0,0,0,0,6,0,0,4,4,0,0,0,4,4,Not delivered,5,Non-endemic,0,0,0.048997814,0,0.705882353
Guinea-Bissau,Oio,Binar,Binar,GNB0242223731,2020,15374,2045,3939,8709,Unknown (under LF MDA),0,0,0,0,6,0,0,4,4,0,0,0,4,4,Not delivered,5,Non-endemic,0,0,0.048997814,0,0.705882353
Guinea-Bissau,Oio,Bissora,Bissora,GNB0242223732,2020,45440,6044,11642,25742,Unknown (under LF MDA),0,0,0,0,6,0,0,4,1,0,0,0,4,1,Not delivered,5,Non-endemic,0,0,0.048997814,0,0.705882353
Guinea-Bissau,Oio,Encheia,Encheia,GNB0242223733,2020,14537,1933,3724,8235,Unknown (under LF MDA),0,0,0,0,6,0,0,4,4,0,0,0,4,4,Not delivered,5,Non-endemic,0,0,0.048997814,0,0.705882353
Guinea-Bissau,Oio,Ga-Mamudo,Ga-Mamudo,GNB0242223734,2020,11802,1570,3024,6686,Unknown (under LF MDA),0,0,0,0,6,0,0,4,4,0,0,0,4,4,Not delivered,5,Non-endemic,0,0,0.048997814,0,0.705882353
